"filename", "language", "C#", "XML", "JSON", "Properties", "Python", "comment", "blank", "total"
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\bin\Renderer.py", "Python", 0, 0, 0, 0, 268, 51, 82, 401
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\bin\Structs.py", "Python", 0, 0, 0, 0, 19, 3, 4, 26
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\bin\pc2png.py", "Python", 0, 0, 0, 0, 27, 8, 10, 45
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\bin\render.py", "Python", 0, 0, 0, 0, 26, 1, 9, 36
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\bin\test.json", "JSON", 0, 0, 90, 0, 0, 0, 0, 90
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\02-05-2023_16-16-38\metadata.json", "JSON", 0, 0, 1, 0, 0, 0, 1, 2
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\02-05-2023_16-16-38\test.json", "JSON", 0, 0, 90, 0, 0, 0, 0, 90
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\02-05-2023_21-17-12\test.json", "JSON", 0, 0, 90, 0, 0, 0, 0, 90
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\02-05-2023_21-17-55\test.json", "JSON", 0, 0, 90, 0, 0, 0, 0, 90
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\02-05-2023_21-21-21\metadata.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\02-05-2023_21-21-21\test.json", "JSON", 0, 0, 90, 0, 0, 0, 0, 90
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\02-05-2023_21-51-47\metadata.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\02-05-2023_21-51-47\test.json", "JSON", 0, 0, 90, 0, 0, 0, 0, 90
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\02-05-2023_22-13-28\test.json", "JSON", 0, 0, 90, 0, 0, 0, 0, 90
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\02-05-2023_22-14-10\metadata.json", "JSON", 0, 0, 1, 0, 0, 0, 1, 2
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\02-05-2023_22-14-10\test.json", "JSON", 0, 0, 90, 0, 0, 0, 0, 90
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\02-05-2023_22-17-58\metadata.json", "JSON", 0, 0, 1, 0, 0, 0, 1, 2
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\02-05-2023_22-17-58\test.json", "JSON", 0, 0, 90, 0, 0, 0, 0, 90
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\02-05-2023_22-23-57\metadata.json", "JSON", 0, 0, 1, 0, 0, 0, 1, 2
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\02-05-2023_22-23-57\test.json", "JSON", 0, 0, 90, 0, 0, 0, 0, 90
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\02-05-2023_22-25-45\metadata.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\02-05-2023_22-25-45\test.json", "JSON", 0, 0, 90, 0, 0, 0, 0, 90
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\03-05-2023_20-11-19\metadata.json", "JSON", 0, 0, 1, 0, 0, 0, 1, 2
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\03-05-2023_20-11-19\test.json", "JSON", 0, 0, 90, 0, 0, 0, 0, 90
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\03-05-2023_20-21-05\metadata.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 6
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\output\03-05-2023_20-21-05\test.json", "JSON", 0, 0, 90, 0, 0, 0, 0, 90
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\resources\Settings.xml", "XML", 0, 7, 0, 0, 0, 0, 0, 7
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\bin\Debug\net6.0-windows\resources\test.json", "JSON", 0, 0, 90, 0, 0, 0, 0, 90
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\C3PO.csproj.nuget.dgspec.json", "JSON", 0, 0, 92, 0, 0, 0, 0, 92
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\C3PO.csproj.nuget.g.props", "XML", 0, 19, 0, 0, 0, 0, 0, 19
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\C3PO.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 0, 2
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 1, 1, 5
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\App.g.cs", "C#", 56, 0, 0, 0, 0, 18, 12, 86
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\App.g.i.cs", "C#", 56, 0, 0, 0, 0, 18, 12, 86
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\C3PO.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 10, 5, 26
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\C3PO.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 17, 0, 0, 1, 18
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\C3PO_0y0t3wwx_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 10, 5, 26
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\C3PO_0y0t3wwx_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 17, 0, 0, 1, 18
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\C3PO_1ab1yo1r_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 10, 5, 26
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\C3PO_1ab1yo1r_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 17, 0, 0, 1, 18
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\C3PO_1ikawdaf_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 10, 5, 26
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\C3PO_1ikawdaf_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 17, 0, 0, 1, 18
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\C3PO_1mvhqqn5_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 10, 5, 26
